halo_id,delta_J_tot
0,0.8498814326545734
1,0.45362336246860824
2,0.10447654455429109
3,0.2572913906176647
4,0.4463734677682897
5,0.10114094778819716
6,0.5321902152053533
7,0.10186127691985764
8,0.09012779661321836
9,0.1152102022611646
10,0.08903500193140113
11,0.20973986477141726
12,0.3257312004015731
13,0.14141568635818655
14,0.1440451767115579
15,0.11737235969983661
16,0.12081010803975654
17,0.09578251546798057
18,0.2043732398046273
19,0.06983028644887827
20,0.6147125545932984
21,0.1282690613735296
22,0.16341536123241945
23,0.06487896475240289
24,0.33418690658690986
25,0.19123963081111908
26,0.07127185511959346
27,0.11727469229598335
28,0.15145828943861023
29,0.1464766429848003
30,0.10365059441977
31,0.1648632468257219
32,0.12644425847189014
33,0.19714354866914463
34,0.21890236010780295
35,0.13701599523229555
36,0.21778772820921544
37,0.1907145829628869
38,0.20127631241014077
