halo_id,mvir
000,1137285800000.0
001,1235000000000.0
002,1231285800000.0
003,1165857100000.0
004,1262857200000.0
005,1173714200000.0
006,1243285700000.0
007,1173285600000.0
008,1176142900000.0
009,1200571400000.0
010,1236714400000.0
011,1149857200000.0
012,1206142900000.0
013,1256142900000.0
014,1404857200000.0
015,1230285700000.0
016,1183714400000.0
017,1190571500000.0
018,1297428600000.0
019,1178714400000.0
020,1126142800000.0
021,1238857200000.0
022,1196142900000.0
023,1339714300000.0
024,1201571400000.0
025,1270714300000.0
026,1267428600000.0
027,1167143000000.0
028,1180714300000.0
029,1274000000000.0
030,1282285800000.0
031,1319000100000.0
032,1311143000000.0
033,1218000000000.0
034,1211571500000.0
035,1215714300000.0
036,1335714400000.0
037,1270571500000.0
038,1172571400000.0
039,1218000000000.0
040,1238428500000.0
041,1214571500000.0
042,1377428600000.0
043,1158714400000.0
044,1279571400000.0
