halo_id,vvir
000,134.102061794677
001,137.83765478748302
002,137.69934467054154
003,135.21577303182903
004,138.866346585969
005,135.51884861409053
006,138.14522738825607
007,135.50234717679854
008,135.61225558889572
009,136.54471729079674
010,137.90140808849543
011,134.59436381861835
012,136.7556156781787
013,138.61980489499916
014,143.88747252051243
015,137.66205038996344
016,135.90264118108908
017,136.1645582862258
018,140.1221336038739
019,135.7110165001166
020,133.662652600131
021,137.98100793503883
022,136.3766196403459
023,141.628174119611
024,136.58261448485425
025,139.15373981107325
026,139.03370480124346
027,135.265468727049
028,135.78772760777548
029,139.2735775411859
030,139.57485397893782
031,140.89444086405197
032,140.61412247702324
033,137.20228538218356
034,136.96047574589466
035,137.1164059031022
036,141.48708088062747
037,139.1485273860831
038,135.47484898774795
039,137.20228538218356
040,137.96509606571806
041,137.07342434963797
042,142.94488081813458
043,134.93907309487116
044,139.4762982711608
