gamma,beta
-3.1582680592646097, 0.30728291472475094
-3.1159373901143286, 0.3065522617992166
-3.093192552958954, 0.3063435441416187
-3.0477028786482045, 0.30566096640507523
-3.014217423947236, 0.3049586685361702
-2.965568744476018, 0.3040029772017818
-2.9320832897750493, 0.30339121576943456
-2.8796438041112684, 0.3021646967348971
-2.8499491556028627, 0.3014465278503749
-2.8044594812921133, 0.30014312883457817
-2.7709740265911447, 0.29924969848849564
-2.7204299440236452, 0.2976254342887481
-2.688839892418958, 0.296525391254633
-2.5087765982722408, 0.2888040480742372
-2.4582325157047413, 0.28597148825022756
-2.407688433137242, 0.2829022991033966
-2.258312617692221, 0.2719501662343683
-2.1888145041619094, 0.2656916140665248
-2.1166086719226245, 0.258819265800271
-2.087049409349667, 0.25572165827783916
-2.050720850004277, 0.2510240832650852
-2.0275548121608393, 0.2477657757001306
-1.6195166456002967, 0.17879701264795406
-1.5902958478659608, 0.17206939008571975
-1.5705520656130312, 0.16776166317759506
-1.5460697756193986, 0.1625155977520888
-1.5263259933664695, 0.15826445611681267
-1.504844758275282, 0.1526556261708687
-1.485258926280376, 0.14831391553197132
-1.458181739190644, 0.14167800414679999
-1.4195516189426267, 0.13234778237794625
-1.3999657869477207, 0.1278249988659333
-1.2372770211835817, 0.08777353565539892
-1.2090716179651109, 0.08123809366115592
-1.1846269351757694, 0.0767163119740491
-1.1625891134610713, 0.07066461493793313
-1.1341580670168527, 0.0647457294884361
-1.1047743047305878, 0.058412560836403504
-1.070727249112203, 0.051362768598396724
-1.0453674576851069, 0.04711131787756412
-1.01930566511124, 0.04175806610428068
-0.9991670072132517, 0.038118126833428245
-0.9687615825437406, 0.03235647051411972
-0.9399356604544633, 0.027896892887574798
-0.9030542752059914, 0.022112994620849924
-0.8708324225692103, 0.018192620366112966
-0.7830572077533291, 0.009957352123060315
-0.7555287342121018, 0.008022961599320033
-0.71130266196554, 0.005380656163625375
-0.6765536052003838, 0.003926892054960995
-0.6465430561759309, 0.0029891345635989497
-0.5994738792849468, 0.0020991337102321816
-0.5659884245839786, 0.0015879683185046067
-0.5112323351358548, 0.0010459800104462014
-0.48385429041179195, 0.0007246878361070741
-0.43520561094057353, 0.0006844204713582491
-0.40172015623960533, 0.0006913246888223812
-0.3530714767683869, 0.0002939413798735968
-0.3274835349685903, 0.0002539490258833266
-2.6546762589928057, 0.29547281762219085
-2.6258992805755392, 0.29393235926722533
-2.6007194244604315, 0.2929066231550841
-2.571942446043165, 0.2918816287176444
-2.5395683453237408, 0.29034191203738036
-2.4388489208633093, 0.2846925758362382
-2.381294964028777, 0.2810961952087814
-2.356115107913669, 0.27903953126158865
-2.3345323741007196, 0.27749758955722015
-2.305755395683453, 0.27544166728472885
-2.2338129496402876, 0.2697863976859749
-2.1654676258992804, 0.26309945857746786
-2.1402877697841727, 0.26104279463027513
-1.9856115107913666, 0.2430334495290365
-1.9460431654676253, 0.23737150485796923
-1.9172661870503593, 0.23273826299784908
-1.8453237410071939, 0.2219283542238374
-1.884892086330935, 0.2286212267299562
-1.8165467625899279, 0.21729511236371724
-1.79136690647482, 0.21214566491136982
-1.7697841726618702, 0.20854186753689827
-1.7374100719424455, 0.20287843951642803
-1.7158273381294964, 0.19824371430690493
-1.6906474820143882, 0.19360973077208332
-1.6690647482014387, 0.1889750055625602
-1.6438848920863305, 0.18382555811021278
-1.6079136690647475, 0.17558555217681518
-1.3812949640287768, 0.12357042201290513
-1.3633093525179851, 0.11893495512868052
-1.3417266187050356, 0.11378476600163162
-1.3237410071942444, 0.10863383519988129
-1.2589928057553954, 0.09421419565378619
-1.3021582733812949, 0.10348364607283239
-1.4388489208633088, 0.13747608099087733
